Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for linux-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:40 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 196649792k(188996260k free), swap 3905532k(3905532k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=201369391104 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseParallelGC 
2021-04-01T05:50:35.263+0200: 689.064: [GC (Allocation Failure) [PSYoungGen: 3276256K->42210K(3152896K)] 3879583K->650274K(4603904K), 0.0248788 secs] [Times: user=0.65 sys=0.00, real=0.02 secs] 
2021-04-01T05:50:38.313+0200: 692.114: [GC (Allocation Failure) [PSYoungGen: 3152610K->39913K(3337728K)] 3760674K->651273K(4788736K), 0.0474676 secs] [Times: user=1.39 sys=0.00, real=0.05 secs] 
2021-04-01T05:50:41.861+0200: 695.662: [GC (Allocation Failure) [PSYoungGen: 3337705K->38843K(3210752K)] 3949065K->654961K(4661760K), 0.0180378 secs] [Times: user=0.51 sys=0.01, real=0.01 secs] 
2021-04-01T05:50:44.629+0200: 698.430: [GC (Allocation Failure) [PSYoungGen: 3210683K->42084K(3094528K)] 3826801K->658202K(4545536K), 0.0137708 secs] [Times: user=0.36 sys=0.01, real=0.02 secs] 
2021-04-01T05:50:48.014+0200: 701.815: [GC (GCLocker Initiated GC) [PSYoungGen: 3094116K->50443K(2988544K)] 3710260K->669991K(4439552K), 0.0209014 secs] [Times: user=0.68 sys=0.00, real=0.02 secs] 
2021-04-01T05:50:50.338+0200: 704.139: [GC (Allocation Failure) [PSYoungGen: 2988299K->29172K(2857984K)] 3607849K->663955K(4308992K), 0.0172284 secs] [Times: user=0.56 sys=0.00, real=0.02 secs] 
2021-04-01T05:50:52.113+0200: 705.915: [GC (Allocation Failure) [PSYoungGen: 2857972K->28978K(3025408K)] 3492755K->667426K(4476416K), 0.0282291 secs] [Times: user=0.76 sys=0.00, real=0.03 secs] 
2021-04-01T05:50:53.193+0200: 706.994: [GC (Allocation Failure) [PSYoungGen: 3025202K->27440K(3244544K)] 3663650K->665888K(4695552K), 0.0261945 secs] [Times: user=0.71 sys=0.00, real=0.02 secs] 
2021-04-01T05:50:56.314+0200: 710.115: [GC (Allocation Failure) [PSYoungGen: 3244336K->29291K(3464192K)] 3882784K->668977K(4915200K), 0.0207218 secs] [Times: user=0.55 sys=0.00, real=0.02 secs] 
2021-04-01T05:50:59.967+0200: 713.769: [GC (Allocation Failure) [PSYoungGen: 3463787K->31659K(3682304K)] 4103473K->673014K(5133312K), 0.0249982 secs] [Times: user=0.57 sys=0.02, real=0.03 secs] 
2021-04-01T05:51:03.435+0200: 717.237: [GC (Allocation Failure) [PSYoungGen: 3682219K->35748K(3543552K)] 4323574K->678888K(4994560K), 0.0150583 secs] [Times: user=0.44 sys=0.00, real=0.01 secs] 
2021-04-01T05:51:06.452+0200: 720.253: [GC (Allocation Failure) [PSYoungGen: 3543460K->35883K(3408384K)] 4186600K->680647K(4859392K), 0.0192742 secs] [Times: user=0.50 sys=0.00, real=0.01 secs] 
2021-04-01T05:51:08.686+0200: 722.488: [GC (Allocation Failure) [PSYoungGen: 3407915K->36084K(3278848K)] 4052679K->682152K(4729856K), 0.0226339 secs] [Times: user=0.53 sys=0.00, real=0.02 secs] 
2021-04-01T05:51:12.031+0200: 725.833: [GC (Allocation Failure) [PSYoungGen: 3278580K->39275K(3158528K)] 3924648K->686495K(4609536K), 0.0264763 secs] [Times: user=0.87 sys=0.01, real=0.03 secs] 
2021-04-01T05:51:13.666+0200: 727.468: [GC (Allocation Failure) [PSYoungGen: 3157616K->36210K(3038208K)] 3804836K->685060K(4489216K), 0.0152063 secs] [Times: user=0.31 sys=0.00, real=0.02 secs] 
2021-04-01T05:51:18.859+0200: 732.660: [GC (Allocation Failure) [PSYoungGen: 3038066K->37355K(2927104K)] 3686916K->692481K(4378112K), 0.0250405 secs] [Times: user=0.71 sys=0.01, real=0.03 secs] 
2021-04-01T05:51:21.600+0200: 735.401: [GC (Allocation Failure) [PSYoungGen: 2923889K->36635K(2820096K)] 3579015K->694762K(4271104K), 0.0245227 secs] [Times: user=0.65 sys=0.00, real=0.03 secs] 
2021-04-01T05:51:24.764+0200: 738.565: [GC (Allocation Failure) [PSYoungGen: 2819867K->36852K(2718208K)] 3477994K->697979K(4169216K), 0.0332556 secs] [Times: user=0.92 sys=0.00, real=0.03 secs] 
2021-04-01T05:51:26.441+0200: 740.242: [GC (Allocation Failure) [PSYoungGen: 2718196K->36507K(2900992K)] 3379323K->701459K(4352000K), 0.0340041 secs] [Times: user=0.96 sys=0.00, real=0.03 secs] 
2021-04-01T05:51:30.012+0200: 743.813: [GC (Allocation Failure) [PSYoungGen: 2897380K->33275K(3073024K)] 3562332K->705499K(4524032K), 0.0169932 secs] [Times: user=0.45 sys=0.01, real=0.01 secs] 
